Date,Close1,Date,Close2
5/10/2019 16:00:00,41.57,5/10/2019 16:00:00,51.09
5/13/2019 16:00:00,37.1,5/13/2019 16:00:00,48.15
5/14/2019 16:00:00,39.96,5/14/2019 16:00:00,50.52
5/15/2019 16:00:00,41.29,5/15/2019 16:00:00,54.04
5/16/2019 16:00:00,43,5/16/2019 16:00:00,55.6
5/17/2019 16:00:00,41.91,5/17/2019 16:00:00,53.79
5/20/2019 16:00:00,41.59,5/20/2019 16:00:00,54.63
5/21/2019 16:00:00,41.5,5/21/2019 16:00:00,55.51
5/22/2019 16:00:00,41.25,5/22/2019 16:00:00,57.88
5/23/2019 16:00:00,40.47,5/23/2019 16:00:00,58.11
5/24/2019 16:00:00,41.51,5/24/2019 16:00:00,57.1
5/28/2019 16:00:00,40.95,5/28/2019 16:00:00,56.89
5/29/2019 16:00:00,39.94,5/29/2019 16:00:00,56.26
5/30/2019 16:00:00,39.8,5/30/2019 16:00:00,54.83
5/31/2019 16:00:00,40.41,5/31/2019 16:00:00,57.62
6/3/2019 16:00:00,41.25,6/3/2019 16:00:00,59.54
6/4/2019 16:00:00,42.75,6/4/2019 16:00:00,59.17
6/5/2019 16:00:00,45,6/5/2019 16:00:00,63.01
6/6/2019 16:00:00,44.92,6/6/2019 16:00:00,61.63
6/7/2019 16:00:00,44.16,6/7/2019 16:00:00,59.26
6/10/2019 16:00:00,42.61,6/10/2019 16:00:00,56.76
6/11/2019 16:00:00,42.45,6/11/2019 16:00:00,58.07
6/12/2019 16:00:00,42.17,6/12/2019 16:00:00,58.41
6/13/2019 16:00:00,44.31,6/13/2019 16:00:00,61.21
6/14/2019 16:00:00,43.23,6/14/2019 16:00:00,60.96
6/17/2019 16:00:00,43.78,6/17/2019 16:00:00,63.6
6/18/2019 16:00:00,43.86,6/18/2019 16:00:00,64.4
6/19/2019 16:00:00,44.86,6/19/2019 16:00:00,63.55
6/20/2019 16:00:00,43.86,6/20/2019 16:00:00,62.84
6/21/2019 16:00:00,44,6/21/2019 16:00:00,64.26
6/24/2019 16:00:00,43.09,6/24/2019 16:00:00,63.76
6/25/2019 16:00:00,43.09,6/25/2019 16:00:00,64.04
6/26/2019 16:00:00,42.5,6/26/2019 16:00:00,62.97
6/27/2019 16:00:00,45.13,6/27/2019 16:00:00,65.27
6/28/2019 16:00:00,46.38,6/28/2019 16:00:00,65.71
7/1/2019 16:00:00,44.27,7/1/2019 16:00:00,62
7/2/2019 16:00:00,44,7/2/2019 16:00:00,60.35
7/3/2019 13:00:00,44.23,7/3/2019 13:00:00,60.6
7/5/2019 16:00:00,43.53,7/5/2019 16:00:00,59.39
7/8/2019 16:00:00,42.95,7/8/2019 16:00:00,59.79
7/9/2019 16:00:00,44.2,7/9/2019 16:00:00,61.83
7/10/2019 16:00:00,43.7,7/10/2019 16:00:00,62.3
